APTO ,MTS EN REGISTRO PUBLICO,CUOTA SEGUN REGISTRO PUBLICO
8A,112.28,202.104
8B,88.41,159.138
8C,112.39,202.302
8D,112.39,202.302
8E,91.17,164.106
8F,121.67,219.006
9A,98.44,177.192
9B,98.44,177.192
9C,98.55,177.39
9D,98.55,177.39
9E,92.49,166.482
9F,107.84,194.112
10A,98.44,177.192
10B,88.41,159.138
10C,98.55,177.39
10D,98.55,177.39
10E,91.17,164.106
10F,107.84,194.112
11A,98.44,177.192
11B,86.95,156.51
11C,98.55,177.39
11D,98.55,177.39
11E,92.49,166.482
11F,107.84,194.112
12A,98.55,177.39
12B,88.41,159.138
12C,98.55,177.39
12D,98.55,177.39
12E,91.17,164.106
12F,107.84,194.112
13A,98.44,177.192
13B,86.95,156.51
13C,98.55,177.39
13D,98.55,177.39
13E,92.49,166.482
13F,107.84,194.112
14A,98.44,177.192
14B,88.41,159.138
14C,98.55,177.39
14D,98.55,177.39
14E,91.17,164.106
14F,107.84,194.112
15A,98.44,177.192
15B,86.95,156.51
15C,98.55,177.39
15D,98.55,177.39
15E,92.49,166.482
15F,107.84,194.112
16A,98.44,177.192
16B,88.41,159.138
16C,98.55,177.39
16D,98.55,177.39
16E,91.17,164.106
16F,107.84,194.112
17A,98.44,177.192
17B,86.95,156.51
17C,98.55,177.39
17D,98.55,177.39
17E,92.49,166.482
17F,107.84,194.112
18A,98.84,177.912
18B,88.41,159.138
18C,98.95,178.11
18D,98.95,178.11
18E,91.17,164.106
18F,107.84,194.112
19A,98.84,177.912
19B,86.95,156.51
19C,98.95,178.11
19D,98.95,178.11
19E,92.49,166.482
19F,107.84,194.112
20A,98.84,177.912
20B,88.41,159.138
20C,98.95,178.11
20D,98.95,178.11
20E,91.17,164.106
20F,107.84,194.112
21A,98.84,177.912
21B,86.95,156.51
21C,98.95,178.11
21D,98.95,178.11
21E,92.49,166.482
21F,107.84,194.112
22A,98.84,177.912
22B,88.41,159.138
22C,98.95,178.11
22D,98.95,178.11
22E,91.17,164.106
22F,107.84,194.112
23A,98.84,177.912
23B,86.95,156.51
23C,98.95,178.11
23D,98.95,178.11
23E,92.49,166.482
23F,107.84,194.112
24A,98.84,177.912
24B,88.41,159.138
24C,98.95,178.11
24D,98.95,178.11
24E,91.17,164.106
24F,107.84,194.112
25A,98.84,177.912
25B,86.95,156.51
25C,98.95,178.11
25D,98.95,178.11
25E,92.49,166.482
25F,107.84,194.112
26A,98.84,177.912
26B,88.41,159.138
26C,98.95,178.11
26D,98.95,178.11
26E,91.17,164.106
26F,107.84,194.112
27A,98.84,177.912
27B,86.95,156.51
27C,98.95,178.11
27D,98.95,178.11
27E,92.49,166.482
27F,107.84,194.112
28A,98.84,177.912
28B,88.41,159.138
28C,98.95,178.11
28D,98.95,178.11
28E,91.17,164.106
28F,107.84,194.112
29A,98.84,177.912
29B,86.95,156.51
29C,98.95,178.11
29D,98.95,178.11
29E,92.49,166.482
29F,107.84,194.112
30A,98.84,177.912
30B,88.41,159.138
30C,98.95,178.11
30D,98.95,178.11
30E,91.17,164.106
30F,107.84,194.112
31A,98.84,177.912
31B,86.95,156.51
31C,98.95,178.11
31D,98.95,178.11
31E,92.49,166.482
31F,107.84,194.112
32A,257.74,463.932
32B,310.69,559.242
32C,297.78,536.004
32D,263.62,474.516