Unidad,Saldo pendiente,Semilla,Total Deuda,Estado
8A,0,0,0,Pendiente
8B,0,700,700,Pendiente
8C,0,0,0,Pagado
8D,0,0,0,Pagado
8E,0,0,0,Pagado
8F,0,0,0,Pagado
9A,0,0,0,Pagado
9B,0,0,0,Pagado
9C,0,0,0,Pagado
9D,0,0,0,Pagado
9E,0,0,0,Pagado
9F,0,0,0,Pagado
10A,0,0,0,Pagado
10B,0,0,0,Pagado
10C,0,600,600,Pendiente
10D,0,0,0,Pagado
10E,0,0,0,Pagado
10F,0,0,0,Pagado
11A,0,1100,1100,Pendiente
11B,0,0,0,Pagado
11C,0,0,0,Pagado
11D,0,0,0,Pagado
11E,0,0,0,Pagado
11F,0,1100,1100,Pendiente
12A,0,0,0,Pagado
12B,0,0,0,Pagado
12C,914.59,977.55,1892.14,Pendiente
12D,0,0,0,Pagado
12E,0,1100,1100,Pendiente
12F,0,0,0,Pagado
13A,0,1100,1100,Pendiente
13B,19.5,0,19.5,Pendiente
13C,0,1100,1100,Pendiente
13D,0,0,0,Pagado
13E,0,0,0,Pagado
13F,0,0,0,Pagado
14A,0,0,0,Pagado
14B,49.14,700,749.14,Pendiente
14C,0,0,0,Pagado
14D,0,0,0,Pagado
14E,0,0,0,Pagado
14F,194.11,0,194.11,Pendiente
15A,0,0,0,Pagado
15B,0,0,0,Pagado
15C,0,1100,1100,Pendiente
15D,0,0,0,Pagado
15E,0.08,0,0.08,Pagado
15F,194.11,300,494.11,Pendiente
16A,0,1100,1100,Pendiente
16B,0,0,0,Pagado
16C,0,0,0,Pagado
16D,312.14,0,312.14,Pendiente
16E,0.36,0,0.36,Pendiente
16F,0,0,0,Pagado
17A,264.4,1100,1364.4,Pendiente
17B,0,0,0,Pagado
17C,0,500,500,Pendiente
17D,0,0,0,Pagado
17E,16.5,0,16.5,Pendiente
17F,0,0,0,Pagado
18A,0,0,0,Pagado
18B,175.36,0,175.36,Pendiente
18C,0,0,0,Pendiente
18D,0,0,0,Pagado
18E,50.36,0,50.36,Pendiente
18F,213.52,1100,1313.52,Pendiente
19A,0,0,0,Pagado
19B,0,0,0,Pagado
19C,0,0,0,Pagado
19D,0,0,0,Pagado
19E,0,0,0,Pendiente
19F,315.52,0,315.52,Pendiente
20A,0,0,0,Pagado
20B,0,0,0,Pagado
20C,0,0,0,Pagado
20D,0,600,600,Pendiente
20E,0,0,0,Pagado
20F,0,1100,1100,Pendiente
21A,0,0,0,Pagado
21B,0,0,0,Pagado
21C,0,0,0,Pagado
21D,0,0,0,Pagado
21E,0,0,0,Pagado
21F,0,0,0,Pagado
22A,0,0,0,Pagado
22B,0,0,0,Pagado
22C,0,1100,1100,Pendiente
22D,0,0,0,Pagado
22E,0.31,0,0.31,Pendiente
22F,150.91,0,150.91,Pendiente
23A,0,0,0,Pagado
23B,0,0,0,Pagado
23C,0,0,0,Pagado
23D,0,0,0,Pagado
23E,0,0,0,Pagado
23F,0,1100,1100,Pendiente
24A,0,0,0,Pagado
24B,0,0,0,Pagado
24C,0,0,0,Pagado
24D,0,0,0,Pagado
24E,204.87,1100,1304.87,Pendiente
24F,0,0,0,Pagado
25A,0,0,0,Pagado
25B,0,0,0,Pagado
25C,0,1100,1100,Pendiente
25D,0,0,0,Pagado
25E,0,0,0,Pagado
25F,0,1100,1100,Pendiente
26A,0,0,0,Pagado
26B,0,0,0,Pagado
26C,0,0,0,Pagado
26D,0,700,700,Pendiente
26E,406.77,1100,1506.77,Pendiente
26F,109.11,0,109.11,Pendiente
27A,0,0,0,Pagado
27B,0,0,0,Pagado
27C,0,1100,1100,Pendiente
27D,0,0,0,Pagado
27E,0,0,0,Pagado
27F,0,0,0,Pagado
28A,0,0,0,Pendiente
28B,617.68,0,617.68,Pendiente
28C,0,0,0,Pendiente
28D,0,0,0,Pagado
28E,0,0,0,Pagado
28F,19.52,250,269.52,Pendiente
29A,0,0,0,Pagado
29B,43.6,0,43.6,Pendiente
29C,0,815,815,Pendiente
29D,92.53,1000,1092.53,Pendiente
29E,16.62,0,16.62,Pendiente
29F,0,500,500,Pendiente
30A,0,0,0,Pagado
30B,0,0,0,Pagado
30C,468.16,0,468.16,Pendiente
30D,0,0,0,Pagado
30E,50.36,1100,1150.36,Pendiente
30F,0,0,0,Pagado
31A,12.17,0,12.17,Pendiente
31B,0,0,0,Pagado
31C,0,0,0,Pagado
31D,0,0,0,Pagado
31E,0,0,0,Pagado
31F,0,0,0,Pagado
32A,0,0,0,Pagado
32B,0,1100,1100,Pendiente
32C,0,1100,1100,Pendiente
32D,780.47,1100,1880.47,Pendiente