Unidad,Facturado,Pagado,Saldo,Comentario
8A,1100,1100,0, Pagado antes 2024 
8B,1100,400,700, Falta comporbante de pago 
8C,1100,1100,0, Pagado antes 2024 
8D,1100,1100,0, Pagado antes 2024 
8E,1100,1100,0, Pagado antes 2024 
8F,1100,1100,0, Pagado antes 2024 
9A,1100,1100,0, Pagado antes 2024 
9B,1100,1100,0, Pagado antes 2024 
9C,1100,1100,0, Pagado antes 2024 
9D,1100,1100,0, Pagado antes 2024 
9E,1100,1100,0, Pagado antes 2024 
9F,1100,1100,0, Pagado antes 2024 
10A,1100,1100,0, Pagado antes 2024 
10B,1100,1100,0, Pagado antes 2024 
10C,1100,500,600, Pendiente de pago 
10D,1100,1100,0, Pagado antes 2024 
10E,1100,1100,0, Pagado antes 2024 
10F,1100,1100,0, Pagado antes 2024 
11A,1100,,1100, Pendiente de pago 
11B,1100,1100,0, Pagado antes 2024 
11C,1100,1100,0, Pagado antes 2024 
11D,1100,1100,0, Pagado antes 2024 
11E,1100,1100,0, Pagado antes 2024 
11F,1100,,1100, Pendiente de pago 
12A,1100,1100,0, Pagado antes 2024 
12B,1100,1100,0, Pagado antes 2024 
12C,1100,122.45,977.55, Pendiente de pago 
12D,1100,1100,0, Pagado antes 2024 
12E,1100,,1100, Pendiente de pago 
12F,1100,1100,0, Pagado antes 2024 
13A,1100,,1100, Pendiente de pago 
13B,1100,1100,0, Pagado antes 2024 
13C,1100,,1100, Pendiente de pago 
13D,1100,1100,0, Pagado antes 2024 
13E,1100,1100,0, Pagado antes 2024 
13F,1100,1100,0, Pagado antes 2024 
14A,1100,1100,0, Pagado antes 2024 
14B,1100,400,700, Pendiente de pago 
14C,1100,1100,0, Pagado antes 2024 
14D,1100,1100,0, Pagado antes 2024 
14E,1100,1100,0, Pagado antes 2024 
14F,1100,1100,0, Pagado antes 2024 
15A,1100,1100,0, Pagado antes 2024 
15B,1100,1100,0, Pagado antes 2024 
15C,1100,,1100, Pendiente de pago 
15D,1100,1100,0, Pagado antes 2024 
15E,1100,1100,0, Pagado antes 2024 
15F,1100,800,300, Pendiente de pago 
16A,1100,,1100, Pendiente de pago 
16B,1100,1100,0, Pagado antes 2024 
16C,1100,1100,0, Pagado antes 2024 
16D,1100,1100,0, Pagado antes 2024 
16E,1100,1100,0, Pagado antes 2024 
16F,1100,1100,0, Pagado antes 2024 
17A,1100,,1100, Pendiente de pago 
17B,1100,1100,0, Pagado antes 2024 
17C,1100,600,500, Pendiente de pago 
17D,1100,1100,0, Pagado antes 2024 
17E,1100,1100,0, Pagado antes 2024 
17F,1100,1100,0, Pagado antes 2024 
18A,1100,1100,0, Pagado antes 2024 
18B,1100,1100,0, Pagado antes 2024 
18C,1100,1100,0, Pagado antes 2024 
18D,1100,1100,0, Pagado antes 2024 
18E,1100,1100,0, Pagado antes 2024 
18F,1100,,1100, Pendiente de pago 
19A,1100,1100,0, Pagado antes 2024 
19B,1100,1100,0, Pagado antes 2024 
19C,1100,1100,0, Pagado antes 2024 
19D,1100,1100,0, Pagado antes 2024 
19E,1100,1100,0, Pagado antes 2024 
19F,1100,1100,0, Pagado antes 2024 
20A,1100,1100,0, Pagado antes 2024 
20B,1100,1100,0, Pagado antes 2024 
20C,1100,1100,0, Pagado antes 2024 
20D,1100,500,600, Pendiente de pago 
20E,1100,1100,0, Pagado antes 2024 
20F,1100,,1100, Pendiente de pago 
21A,1100,1100,0, Pagado antes 2024 
21B,1100,1100,0, Pagado antes 2024 
21C,1100,1100,0, Pagado antes 2024 
21D,1100,1100,0, Pagado antes 2024 
21E,1100,1100,0, Pagado antes 2024 
21F,1100,1100,0, Pagado en 2024 
22A,1100,1100,0, Pagado antes 2024 
22B,1100,1100,0, Pagado antes 2024 
22C,1100,,1100, Pendiente de pago 
22D,1100,1100,0, Pagado antes 2024 
22E,1100,1100,0, Pagado antes 2024 
22F,1100,1100,0, Pagado antes 2024 
23A,1100,1100,0, Pagado antes 2024 
23B,1100,1100,0, Pagado antes 2024 
23C,1100,1100,0, Pagado antes 2024 
23D,1100,1100,0, Pagado antes 2024 
23E,1100,1100,0, Pagado antes 2024 
23F,1100,,1100, Pendiente de pago 
24A,1100,1100,0, Pagado antes 2024 
24B,1100,1100,0, Pagado antes 2024 
24C,1100,1100,0, Pagado antes 2024 
24D,1100,1100,0, Pagado antes 2024 
24E,1100,,1100, Pendiente de pago 
24F,1100,1100,0, Pagado antes 2024 
25A,1100,1100,0, Pagado antes 2024 
25B,1100,1100,0, Pagado antes 2024 
25C,1100,,1100, Pendiente de pago 
25D,1100,1100,0, Pagado antes 2024 
25E,1100,1100,0, Pagado antes 2024 
25F,1100,,1100, Pendiente de pago 
26A,1100,1100,0, Pagado antes 2024 
26B,1100,1100,0, Pagado antes 2024 
26C,1100,1100,0, Pagado antes 2024 
26D,1100,400,700, Pendiente de pago 
26E,1100,,1100, Pendiente de pago 
26F,1100,1100,0, Pagado antes 2024 
27A,1100,1100,0, Pagado antes 2024 
27B,1100,1100,0, Pagado antes 2024 
27C,1100,,1100, Pendiente de pago 
27D,1100,1100,0, Pagado antes 2024 
27E,1100,1100,0, Pagado antes 2024 
27F,1100,1100,0, Pagado en 2024 
28A,1100,1100,0, Pagado antes 2024 
28B,1100,1100,0, Pagado antes 2024 
28C,1100,1100,0, Pagado antes 2024 
28D,1100,1100,0, Pagado antes 2024 
28E,1100,1100,0, Pagado antes 2024 
28F,1100,850,250, Pendiente de pago 
29A,1100,1100,0, Pagado antes 2024 
29B,1100,1100,0, Pagado antes 2024 
29C,1100,285,815, Falta comporbante de pago 
29D,1100,100,1000, Pendiente de pago 
29E,1100,1100,0, Pagado antes 2024 
29F,1100,600,500, Pendiente de pago 
30A,1100,1100,0, Pagado antes 2024 
30B,1100,1100,0, Pagado antes 2024 
30C,1100,1100,0, Pagado antes 2024 
30D,1100,1100,0, Pagado antes 2024 
30E,1100,,1100, Pendiente de pago 
30F,1100,1100,0, Pagado antes 2024 
31A,1100,1100,0, Pagado antes 2024 
31B,1100,1100,0, Pagado antes 2024 
31C,1100,1100,0, Pagado antes 2024 
31D,1100,1100,0, Pagado antes 2024 
31E,1100,1100,0, Pagado antes 2024 
31F,1100,1100,0, Pagado antes 2024 
32A,1100,1100,0, Pagado antes 2024 
32B,1100,,1100, Pendiente de pago 
32C,1100,,1100, Pendiente de pago 
32D,1100,,1100, Pendiente de pago 